zip,lat,lon,area,wealth,res_rate
45013,39.4049854,-84.64791240000002,1051445.003353455,16102.029327352557,0.1124061090866396
78250,29.5003744,-98.6655592,1050987.36,17173.476130630384,0.10663021989030452
32937,28.179854,-80.59383299999998,1049951.7,22965.499098882614,0.10653772465040548
90703,33.872455200000005,-118.05959070000002,1044631.96,25068.744367294883,0.12503858675468665
91709,33.959453,-117.7256083,1042957.7531857813,26896.22007861384,0.12503858675468665
92592,33.43806010000001,-117.0087877,1039280.7981220656,20464.084754179767,0.13143585163902471
95648,38.9052036,-121.3084088,1035681.6431924878,17860.94378510791,0.14084994866818065
30135,33.663008700000006,-84.75244819999998,1031397.0288397043,17997.875096911746,0.11331569077791913
78247,29.5857075,-98.4129396,1029721.61,19773.206543842523,0.10663021989030452
93274,36.1973331,-119.3714909,1024381.2139503681,10971.401328150772,0.13294426771143364
63129,38.4530404,-90.3089777,1023082.87,25852.076159945373,0.11342645676475036
78249,29.5676137,-98.6050736,1022590.99,18521.936717983623,0.10663021989030452
93230,36.2808234,-119.6499162,1022509.1549295778,13242.815135449866,0.13294426771143364
32953,28.470872,-80.6992633,1017867.21,18458.87206644985,0.10653772465040548
92407,34.216765,-117.3851496,1016472.9040912141,12423.661098273034,0.12503858675468665
93722,36.83533120000001,-119.8930904,1013681.8100000002,13921.224034637924,0.14084994866818065
92253,33.6562975,-116.2895173,1010451.4688128768,17157.94278353282,0.12731844455450922
73099,35.53586389999999,-97.7416703,1010451.4688128768,18976.600796632567,0.11697624477474662
92705,33.75323579999999,-117.7901088,1009948.2,26231.25842168836,0.12503858675468665
91342,34.302375899999994,-118.3695699,1003146.6398390341,14087.957928590897,0.13463911190052275
78613,30.5119418,-97.8177601,1001336.6532528505,24476.535031260082,0.10642469759337964
44035,41.3683407,-82.10764139999998,1000830.4225352114,14207.831785008482,0.09852492546765326
30062,33.995788299999994,-84.46976629999997,996777.3843058363,28476.97428221965,0.11489190315710687
30281,33.54943830000001,-84.20679919999998,994562.5955734408,16328.532280012098,0.10928653845066638
93535,34.7311394,-117.8780275,993385.2649228708,10431.289662160289,0.12503858675468665
91745,33.9990858,-117.98347379999998,985821.93,19004.46540647621,0.12503858675468665
78130,29.704980600000006,-98.068343,985009.1683433936,15376.677761730427,0.10056621975576813
91331,34.2570374,-118.4279933,984330.52,10062.381313350501,0.13463911190052275
15601,40.30220569999999,-79.53786339999998,984169.4768611664,19123.006825479548,0.07124707235939044
30016,33.5352567,-83.91089680000002,984135.6673373568,13952.769906140007,0.10410186316408908
92346,34.1286356,-117.2089374,983590.0804828969,16937.4393059374,0.12503858675468665
23322,36.6215976,-76.22473659999999,982248.7927565391,24159.700295999868,0.05527513117333998
92704,33.7246333,-117.9073244,981334.21,12328.31032761027,0.12503858675468665
60453,41.7087701,-87.74680710000001,980637.6400000001,18864.56237797907,0.09615072292925614
33055,25.9445817,-80.2823063,979317.67,12099.063504190395,0.10653772465040548
94565,38.0182853,-121.9245556,976574.7216633126,15394.328753204712,0.14084994866818065
44256,41.15244129999999,-81.8631302,976087.4849094558,24114.617482551294,0.1022888970129206
77373,30.060545399999995,-95.3834854,973680.0201207236,18888.86518705708,0.11176999845468807
29483,33.0752648,-80.20982190000002,973680.0201207236,14965.542416568012,0.13707861270814947
95624,38.4244019,-121.3312882,972661.5560026831,20115.088402781133,0.13492272948773268
44060,41.6906085,-81.31793640000002,970398.5982562031,22728.102971217882,0.09287896814975223
95630,38.668585,-121.1481284,969332.4211938295,26313.848808534214,0.13887420894136468
70072,29.8120151,-90.1307797,969129.5640509719,15049.290749680536,0.08884879421194569
